nombre	dureza	rompimiento_por_fractura	color	composicion	lustre	specific_gravity	sistema cristalino
grafito	1.5	FALSE	#5f6168	C	METALICO	2.2	HEXAGONAL
galena	2.5	FALSE	#1c1a1e	PbS	METALICO	7.6	CUBICO
magnetita	6	TRUE	#141319	Fe3O4	METALICO	5.2	ISOMETRICO
pirita	6.5	TRUE	#b99833	FeS2	METALICO	5	CUBICO
hematita	6	TRUE	#691f2f	Fe2O3	METALICO/NO METALICO	5.3	TRIGONAL
talco	1	FALSE	#e9edf5	Mg3Si4O10(OH)2	NO METALICO	2.7	MONOCLINICO
sulfur	2	TRUE	#E8DE35	S	NO METALICO	2.1	ORTORROMBICO
selenita	2	FALSE	#e0ddd7	CaSO4.2H2O	NO METALICO	2.3	MONOCLINICO
moscovita	2.25	FALSE	#7a785a	KAl3Si3O10(OH)2	NO METALICO	2.8	MONOCLINICO
halita	2.5	FALSE	#cb9da1	NaCl	NO METALICO	2.2	CUBICO
biotita	2.75	FALSE	#282414	K(MgFe)3AlSi3O10(OH)2	NO METALICO	3	MONOCLINICO
calcita	3	FALSE	#e5b569	CaCO3	NO METALICO	2.7	TRIGONAL
dolomita	3.5	FALSE	#daaa8c	CaMg(CO3)2	NO METALICO	2.8	TRIGONAL
fluorita	4	FALSE	#7a5596	CaF2	NO METALICO	3.2	CUBICO
olivino	6.5	TRUE	#9ab973	(FeMg)2SiO4	NO METALICO	3.9	ORTORROMBICO
cuarzo	7	TRUE	#f7cac9	SiO2	NO METALICO	2.65	TRIGONAL
granate	7	TRUE	#4b0002	Fe3Al2Si3O12	NO METALICO	3.9	CUBICO
